"",f.value,p.value,-log10(p),FDR,Fisher's LSD
Compound2411,10.875,0.00013821,3.8594,0.003925,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound3945,10.81,0.00014281,3.8453,0.0039539,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound1154,10.808,0.00014296,3.8448,0.0039539,GenX_10mg - GenX_100mg; GenX_20mg - GenX_100mg; PFOS_20mg - GenX_100mg; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_10mg; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C; PFOS_20mg - PFOS_10mg; PFOS_20mg - PFOS_5mg; PFOS_20mg - PFOS_C
Compound4900,10.776,0.00014532,3.8377,0.0039539,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound3640,10.772,0.00014556,3.837,0.0039539,GenX_100mg - GenX_10mg; GenX_20mg - GenX_10mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg
Compound2526,10.709,0.00015035,3.8229,0.00404,PFOS_10mg - GenX_100mg; PFOS_20mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_20mg - PFOS_C
Compound1872,10.598,0.00015909,3.7984,0.0042293,GenX_100mg - GenX_10mg; GenX_100mg - PFOS_20mg; GenX_100mg - PFOS_C; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_10mg - PFOS_C; PFOS_5mg - PFOS_20mg; PFOS_5mg - PFOS_C
Compound3024,10.568,0.00016154,3.7917,0.0042492,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_C; PFOS_5mg - PFOS_C
Compound4021,10.545,0.00016344,3.7866,0.0042547,GenX_20mg - GenX_100mg; PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; GenX_20mg - GenX_10mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg
Compound5045,10.489,0.00016823,3.7741,0.0042973,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg
Compound1150,10.486,0.00016852,3.7733,0.0042973,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_10mg - PFOS_C; PFOS_5mg - PFOS_20mg; PFOS_5mg - PFOS_C
Compound4735,10.438,0.00017271,3.7627,0.0043597,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound4418,10.402,0.00017605,3.7544,0.0043996,GenX_20mg - GenX_100mg; PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; GenX_20mg - GenX_10mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - PFOS_20mg
Compound4263,10.353,0.00018057,3.7434,0.0044678,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound4317,10.286,0.00018701,3.7281,0.0045819,GenX_20mg - GenX_100mg; PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; GenX_20mg - GenX_10mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg
Compound4125,10.217,0.00019389,3.7125,0.0046303,GenX_20mg - GenX_100mg; PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; GenX_20mg - GenX_10mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound4019,10.213,0.00019431,3.7115,0.0046303,GenX_20mg - GenX_100mg; PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; GenX_20mg - GenX_10mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound4784,10.195,0.00019615,3.7074,0.0046303,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_5mg - PFOS_20mg
Compound4625,10.193,0.0001964,3.7069,0.0046303,PFOS_10mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_C - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_10mg - PFOS_5mg; PFOS_C - PFOS_20mg; PFOS_C - PFOS_5mg
Compound4177,10.152,0.00020073,3.6974,0.0046881,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg
Compound4190,10.045,0.0002124,3.6729,0.0049146,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; GenX_20mg - GenX_10mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg
Compound3670,9.9238,0.00022669,3.6446,0.0051973,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; GenX_20mg - GenX_10mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg
Compound1880,9.859,0.00023476,3.6294,0.0053333,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_5mg - PFOS_20mg
Compound998,9.7289,0.00025198,3.5986,0.005673,PFOS_5mg - GenX_100mg; PFOS_5mg - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_5mg - PFOS_20mg; PFOS_5mg - PFOS_C
Compound4422,9.5371,0.00028005,3.5528,0.0062235,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound4613,9.5284,0.00028141,3.5507,0.0062235,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg
Compound1074,9.4988,0.00028608,3.5435,0.0062712,GenX_100mg - PFOS_10mg; GenX_100mg - PFOS_5mg; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_5mg; GenX_20mg - PFOS_10mg; GenX_20mg - PFOS_5mg; PFOS_20mg - PFOS_10mg; PFOS_20mg - PFOS_5mg; PFOS_C - PFOS_5mg
Compound2237,9.4079,0.00030096,3.5215,0.0065401,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_10mg - PFOS_C; PFOS_5mg - PFOS_20mg; PFOS_5mg - PFOS_C
Compound3939,9.3732,0.00030689,3.513,0.0066114,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound3155,9.3309,0.00031429,3.5027,0.0066903,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_10mg - PFOS_C; PFOS_5mg - PFOS_C
Compound1755,9.3218,0.00031591,3.5004,0.0066903,GenX_100mg - GenX_10mg; GenX_100mg - GenX_20mg; GenX_100mg - PFOS_20mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg
Compound2008,9.2824,0.00032301,3.4908,0.00674,PFOS_20mg - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg
Compound3236,9.279,0.00032365,3.4899,0.00674,GenX_20mg - GenX_100mg; PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_5mg - PFOS_20mg
Compound3204,9.1942,0.00033961,3.469,0.007014,GenX_100mg - GenX_10mg; GenX_100mg - PFOS_C; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; GenX_20mg - PFOS_C; PFOS_10mg - PFOS_C; PFOS_20mg - PFOS_C; PFOS_5mg - PFOS_C
Compound4178,8.9483,0.00039127,3.4075,0.0080145,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound5007,8.8049,0.0004255,3.3711,0.0085429,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg
Compound3091,8.7986,0.00042708,3.3695,0.0085429,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg
Compound412,8.7976,0.00042732,3.3692,0.0085429,PFOS_5mg - GenX_100mg; PFOS_5mg - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_5mg - PFOS_20mg; PFOS_5mg - PFOS_C
Compound922,8.7451,0.00044076,3.3558,0.0086752,PFOS_20mg - GenX_100mg; PFOS_C - GenX_100mg; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_5mg; GenX_20mg - PFOS_10mg; PFOS_20mg - PFOS_10mg; PFOS_C - PFOS_10mg; PFOS_20mg - PFOS_5mg; PFOS_C - PFOS_5mg
Compound4743,8.7406,0.00044194,3.3546,0.0086752,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound339,8.7314,0.00044435,3.3523,0.0086752,GenX_100mg - GenX_10mg; GenX_100mg - PFOS_5mg; GenX_20mg - GenX_10mg; GenX_20mg - PFOS_10mg; GenX_20mg - PFOS_20mg; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C; PFOS_C - PFOS_5mg
Compound4833,8.7176,0.00044801,3.3487,0.0086789,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_20mg
Compound1148,8.6095,0.00047778,3.3208,0.0091732,GenX_100mg - PFOS_10mg; GenX_10mg - PFOS_10mg; GenX_20mg - PFOS_10mg; PFOS_20mg - PFOS_10mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound4510,8.5987,0.00048087,3.318,0.0091732,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_5mg - PFOS_20mg
Compound413,8.5659,0.00049043,3.3094,0.0092847,PFOS_5mg - GenX_100mg; PFOS_5mg - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_5mg - PFOS_20mg; PFOS_5mg - PFOS_C
Compound4621,8.5512,0.00049477,3.3056,0.0092965,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg
Compound670,8.5173,0.00050498,3.2967,0.0093637,PFOS_10mg - GenX_100mg; PFOS_20mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg
Compound1475,8.5144,0.00050584,3.296,0.0093637,PFOS_5mg - GenX_100mg; GenX_20mg - GenX_10mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; GenX_20mg - PFOS_C; PFOS_10mg - PFOS_C; PFOS_5mg - PFOS_20mg; PFOS_5mg - PFOS_C
Compound3703,8.4763,0.00051761,3.286,0.0095111,GenX_100mg - PFOS_C; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_10mg - PFOS_C; PFOS_5mg - PFOS_20mg; PFOS_5mg - PFOS_C
Compound4953,8.3918,0.00054487,3.2637,0.0099389,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg
